restaurant_name_tc,restaurant_name_en,district_name_tc,district_name_en,district_code,address_tc,address_en,license_id,license_type_code,info_code,expiry_date,latitude,longitude,lastupdate,google_id,rating,price_level,review_count,primary_type,all_types,naming_style_en,naming_style_tc
金不換泰國餐廳,SWEET BASIL THAI CUISINE,油尖區,Yau Tsim,61,九龍尖沙咀海港城海運大厦二樓OT 260-263舖,"SHOP OT 260-263, L2, OCEAN TERMINAL, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",2261804142,RL,,2026-12-28,22.2953381,114.1688303,2025-12-05,ChIJKetw2owABDQRXlXdiSXUy4U,3.9,4.0,475,thai_restaurant,"['thai_restaurant', 'asian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",Standard,標準
泰潮,THAI CHIU,油尖區,Yau Tsim,61,九龍尖沙咀廣東道30號 新港商場地庫B01號舖R2號檔,"STALL NO. R2 OF SHOP NO. B01, BASEMENT FLOOR OF SILVERCORD, 30 CANTON ROAD, TSIM SHA TSUI, KOWLOON",2261804160,RL,,2026-12-30,22.2973512,114.1694048,2026-01-08,ChIJyxmO3pwBBDQRjyXGQCZCZu4,3.3,0.0,24,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
泰城,Thai Restaurant,油尖區,Yau Tsim,61,九龍油麻地吳松街27-E號地下地舖,"G/F., 27-E WOOSUNG ST., YAU MA TEI, KOWLOON",2261804188,RL,,2027-01-07,22.3080138,114.1707383,2025-12-05,ChIJz3VHYuoABDQRJVBLMZTnNxg,3.8,0.0,203,thai_restaurant,"['thai_restaurant', 'asian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
三妹嘜泰國菜館,三妹嘜泰國菜館,油尖區,Yau Tsim,61,九龍佐敦吳松街109號地下,"G/F., 109 WOO SUNG STREET, JORDAN, KOWLOON",2261804531,RL,,2026-05-18,22.3058487,114.1701474,2025-05-06,ChIJn9XWA-sABDQRqTnzbeCkDRU,4.1,0.0,131,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰迷你廚房,泰迷你廚房,荃灣區,Tsuen Wan,92,新界荃灣西樓角路186-200號昌安大厦一樓51及56號舖,"SHOP 51 & 56, 1/F, CHEONG ON BUILDING, 186-200 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",3192800658,RR,,2026-07-06,22.3715678,114.1198742,2025-05-27,ChIJM5D9Su34AzQR0dHiE8QZjSo,3.3,0.0,8,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
薄荷葉泰國菜,MINT THAI HOUSE,元朗區,Yuen Long,94,新界元朗安駿里2號怡康大廈地下12及13號鋪及鋪前露天座位,"SHOP NO.12 & 13, G/F AND THE OUTSIDE SEATING ACCOMMODATION AT SHOP FRONT, YEE HONG BUILDING, 2 ON CHUN LANE, YUEN LONG, NEW TERRITORIES",2294801620,RL,#A,2026-11-15,22.4420174,114.0235737,2025-11-25,ChIJ-yAxPnX6AzQRYHgohszcQag,3.8,3.0,259,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰山,泰山,荃灣區,Tsuen Wan,92,新界荃灣楊屋道1號荃新天地高層地下37號舖,"SHOP 37, UG/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",2292802197,RL,#G#H,2026-12-03,22.3696031,114.1136505,2025-12-08,ChIJSS-S7-z5AzQR2B4uuuNL9Lo,4.4,0.0,34,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
泰好記,泰好記,旺角區,Mong Kok,62,九龍旺角通菜街75及77號地下,"G/F., 75 & 77 TUNG CHOI ST., MONG KOK, KOWLOON",2262807102,RL,#G#H,2027-03-04,22.3188671,114.1705301,2026-02-24,ChIJZa-24LQBBDQR8dgW8hZ2MwA,4.9,0.0,737,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
心泰苑泰國小廚,心泰苑泰國小廚,荃灣區,Tsuen Wan,92,新界荃灣海濱花園平台A 129A2-A4號舖,"SHOP 129A2-A4, PODIUM A, RIVIERA GARDENS, TSUEN WAN, NEW TERRITORIES",3192800816,RR,,2026-08-04,22.3627146,114.1130293,2025-09-15,ChIJ3RcDBsL4AzQRuHgx6TN3UjI,3.7,0.0,22,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
泰屋餐廳,BAN THAI RESTAURANT,東區,Eastern,11,香港鰂魚涌基利道7號太吉樓地下3B號鋪,"SHOP 3B, G/F., TAI KUT HOUSE, 7 GREIG ROAD, QUARRY BAY, HONG KONG",2211803199,RL,,2027-01-12,22.2840908,114.2143907,2026-01-26,ChIJcUxERgsBBDQR3JYe1s5JpDE,3.6,0.0,133,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
